game_number,move_count,score,max_tile,avg_move_time_sec
1,764,2500,1024,0.025851366719650347
2,429,1940,512,0.03618934382369746
3,157,492,128,0.04606520749960735
4,637,1768,1024,0.02960272374295365
5,828,2584,1024,0.025535518420491243
6,486,1648,512,0.03490435831831316
7,906,2372,1024,0.024513033578464263
8,400,1164,512,0.036192869544029234
9,901,3072,1024,0.025762913626650726
10,499,1748,512,0.031414877675578205
11,274,656,256,0.03479241976772782
12,534,1844,512,0.031146267826637524
13,252,728,256,0.0419174073234437
14,507,1732,512,0.029241913639346993
15,899,2980,1024,0.025606564075185672
16,259,856,256,0.04010239070907062
17,419,1792,512,0.0376232797035454
18,680,2040,1024,0.029731247354956233
19,362,1144,512,0.037964976953538086
20,440,1388,512,0.03509956056421453
21,736,3392,1024,0.02933333166267561
22,503,1748,512,0.030587105817396647
23,959,2840,1024,0.0217832544424238
24,492,2012,512,0.03381242597006201
25,548,1492,512,0.029605781509928458
26,519,1332,512,0.03024964525520457
27,557,2260,1024,0.03253962664030613
28,491,1392,512,0.03266436747766561
29,523,1320,512,0.028209054447268893
30,497,1700,512,0.03469600955725196
31,454,1508,512,0.03616544276082043
32,609,2148,1024,0.02889908984768371
33,488,1444,512,0.03437090555175406
34,403,1732,512,0.02995371759381543
35,733,3120,1024,0.030121963313624447
36,321,1156,256,0.03692191189323259
37,477,1348,512,0.03233663690914898
38,730,2212,1024,0.02670182136640157
39,489,1324,512,0.030550095688833538
40,498,1424,512,0.033218595397520256
41,723,2540,1024,0.029565547346903906
42,487,1516,512,0.03135716303173277
43,478,1504,512,0.03201640200914199
44,831,2544,1024,0.026547666634606684
45,521,2048,512,0.02939943892026817
46,736,2540,1024,0.025276394965855972
47,501,2392,512,0.031046391009332652
48,251,792,256,0.03830275687563467
49,707,2004,1024,0.02652017129361208
50,308,1204,256,0.035655825169055494
51,504,1740,512,0.030296055570481314
52,948,3892,1024,0.02634329710328629
53,502,1404,512,0.028702136054931885
54,495,1808,512,0.02701122351367064
55,284,1096,256,0.03858385119639652
56,486,1832,512,0.03379077332500568
57,915,4248,1024,0.026019125557988066
58,797,2528,1024,0.026009378648611952
59,288,864,256,0.03535348508093092
60,495,1556,512,0.02818889425258444
61,280,916,256,0.03924329366002764
62,388,1616,512,0.039033157923786914
63,464,1364,512,0.03459770669197214
64,506,1980,512,0.030806729916056156
65,524,1492,512,0.029604143768776466
66,494,1644,512,0.031613323852600836
67,520,1980,512,0.028911058719341572
68,471,1392,512,0.03451050112455008
69,302,752,256,0.03384542070477214
70,544,1764,512,0.027473422534325543
71,261,924,256,0.04004629178978931
72,383,1344,512,0.03728455974290016
73,527,1888,512,0.030493918587179744
74,1086,4200,2048,0.024401852000045073
75,466,1716,512,0.032695777426461806
76,503,1824,512,0.036391120781718383
77,289,744,256,0.03540054737077865
78,854,2868,1024,0.02205261022759824
79,507,2392,512,0.03215107927190717
80,461,1460,512,0.03114808407367698
81,310,992,256,0.03985502335333055
82,555,1796,512,0.03268080573898178
83,382,1216,512,0.038986167358478326
84,740,2436,1024,0.024974045560166643
85,505,1536,512,0.030850335394982064
86,703,2156,1024,0.02763016634272308
87,534,2456,512,0.03323035561636593
88,501,1748,512,0.030908805881431717
89,523,2424,512,0.03417768441924174
90,265,980,256,0.04065194039974573
91,254,1152,256,0.03961525376387468
92,492,1992,512,0.029857372849937378
93,528,1444,512,0.029405432668599216
94,704,2440,1024,0.026808145032687622
95,469,1972,512,0.03435172505978582
96,730,2248,1024,0.027231407165527344
97,486,1516,512,0.035327998698984155
98,388,1540,512,0.03599913464379065
99,433,1332,512,0.0328338228802758
100,279,904,256,0.04230527125806364
