game_number,move_count,score,max_tile,avg_move_time_sec
1,278,388,256,0.0007220901173653362
2,191,240,128,0.0007069972173081643
3,388,560,512,0.0007132396255571817
4,545,660,1024,0.0007422661562578393
5,194,260,128,0.0006880969116368244
6,484,684,512,0.0007242974170968553
7,213,212,256,0.0009316704082936748
8,295,984,256,0.0006820145299879172
9,237,292,128,0.0007131612753566308
10,241,280,256,0.000689331426660055
11,210,376,128,0.0006530750365484328
12,296,372,256,0.0007055442075471621
13,295,360,256,0.000631473832211252
14,176,244,128,0.0006589740514755249
15,178,200,128,0.0009365738107917014
16,153,272,128,0.0008393066381317338
17,241,460,128,0.000601505342855493
18,128,152,64,0.0007245298475027084
19,114,84,128,0.0007791017231188322
20,230,240,256,0.0007145860920781675
21,434,636,512,0.0005879160445956041
22,210,272,128,0.0006724334898449125
23,131,108,128,0.000784435345016363
24,164,240,128,0.0007506434510393841
25,474,556,512,0.0008427779885786998
26,307,448,256,0.0006620208292908311
27,254,220,256,0.0007570662836390217
28,118,116,64,0.0008279893357874984
29,211,268,128,0.0007354636892888219
30,882,1284,1024,0.0006561787490671724
31,181,208,128,0.0008038473392718404
32,176,324,128,0.0007043616338209672
33,373,356,256,0.0006891306859238858
34,217,264,128,0.0006815508214010072
35,181,312,128,0.0007317632601406035
36,260,360,256,0.0007247127019442044
37,314,520,256,0.0006901428198358815
38,153,168,128,0.0008155473696640114
39,318,456,512,0.0007646841073186142
40,264,348,256,0.0007172470743005925
41,236,344,256,0.000684199696880276
42,207,312,128,0.0007387278736501501
43,440,516,512,0.0006344968622381037
44,187,264,128,0.0006771470136183468
45,464,828,512,0.0006594046436507126
46,402,504,512,0.00081152346596789
47,477,608,512,0.000693010834028136
48,249,360,256,0.0006954583777002541
49,145,160,128,0.0008243922529549434
50,315,376,256,0.0007177209097241599
51,456,700,512,0.0006730786541052032
52,274,332,256,0.0007800638240619297
53,120,104,64,0.0007791101932525634
54,386,540,512,0.0007096170761424642
55,249,336,256,0.0006904592475737913
56,283,324,256,0.0006830498523509966
57,114,196,64,0.0006638848990724798
58,155,188,128,0.0006210834749283329
59,250,276,256,0.0007343826293945313
60,303,540,256,0.0005565980086625606
61,268,448,256,0.0008324669368231474
62,312,480,256,0.0007179799752357679
63,168,224,128,0.000692745049794515
64,283,436,256,0.0006839816224869906
65,95,76,64,0.0007832301290411698
66,121,148,64,0.0007243688441505117
67,265,224,256,0.0008013995188587117
68,152,136,128,0.000832899620658473
69,186,292,128,0.0006086082868678595
70,167,212,128,0.0006895693476328593
71,405,544,256,0.0007285536071400583
72,520,692,512,0.0030349988203782303
73,126,128,128,0.0008406166046384782
74,223,328,128,0.0007982328868233036
75,76,76,64,0.0009647670545076069
76,217,336,256,0.0006497598463489164
77,403,704,512,0.0006226978585974454
78,352,432,512,0.0007278973406011409
79,272,300,256,0.0007120835430481855
80,414,700,256,0.0006250828360589806
81,299,308,256,0.0007557350656260614
82,258,224,256,0.0007341323896896008
83,242,296,256,0.0007707353465813251
84,330,328,256,0.0006634047537138968
85,217,276,128,0.000820076410671533
86,102,116,64,0.0008910450280881396
87,222,284,256,0.0007897905401281408
88,255,436,128,0.0007000016231162875
89,167,208,128,0.000670710009729077
90,422,600,512,0.00070637831755724
91,501,624,512,0.0007068630226120025
92,179,360,128,0.0007337524904219132
93,514,616,512,0.0007610868387185183
94,284,464,256,0.0007265529162447218
95,321,404,256,0.0006931942199992242
96,400,340,512,0.0007002133131027221
97,217,388,128,0.0006480821266701694
98,196,236,256,0.000755036363796312
99,123,136,64,0.0006736662329697027
100,171,320,128,0.0008473242932592916
