game_number,move_count,score,max_tile,avg_move_time_sec
1,1892,2404,4096,0.54579999999999995
2,1898,3936,4096,0.62639999999999996
3,3719,16008,8192,0.67159999999999997
4,1906,5008,4096,0.41620000000000001
5,1904,4016,4096,1.00419999999999998
6,1907,3240,4096,0.41149999999999998
7,1904,3160,4096,0.86370000000000002
8,1942,4072,4096,0.70150000000000001
9,953,4916,2048,0.74180000000000001
10,1945,2908,4096,0.26019999999999999
11,1998,5960,4096,0.11130000000000000
12,1876,5024,4096,0.78700000000000003
13,995,1876,2048,0.91890000000000005
14,2855,6808,4096,4.16159999999999997
15,3846,6052,4096,3.60869999999999980
16,7150,15804,8192,2.79990000000000006
17,3701,13108,4096,3.63430000000000009
18,5614,9092,8192,3.34600000000000009
19,3762,9520,4096,3.65240000000000009
20,3737,5424,4096,3.56079999999999997
21,3811,6112,4096,3.46349999999999980
22,2829,4320,4096,4.34109999999999996
23,2631,5770,4096,1.87191722122194482
24,5760,13432,8192,2.30699820848025539
25,1000,3385,2048,0.84152647755695920
26,2513,5524,4096,1.84477402229001708
27,5696,13465,8192,2.17495137215801249
28,961,3498,2048,0.83512419848197939
29,2606,5523,4096,1.81558723695051993
30,5371,13557,8192,2.19151484242377581
31,970,3416,2048,0.80581850539327837
32,2613,5370,4096,1.91776794865241929
33,5505,11975,8192,2.30925525567178491
34,968,3452,2048,0.84809114679380049
35,2469,5417,4096,1.86332403279459546
36,5501,13454,8192,2.24605480867296858
37,954,3444,2048,0.77452954304733224
38,2551,5248,4096,1.94903067153860365
39,5390,13795,8192,2.34855081483410677
40,999,3323,2048,0.82897317444075391
41,2680,5387,4096,1.91833453935422105
42,5326,13507,8192,2.19255753258480768
43,983,3257,2048,0.81039709957437522
44,2511,5391,4096,1.94436048399967909
45,5626,13394,8192,2.33123387630820078
46,990,3416,2048,0.85088097877286117
47,2429,5415,4096,1.84393469227972995
48,5596,13468,8192,2.20711659730068677
49,953,3481,2048,0.87023183773089008
50,2557,5367,4096,1.91356172632408139
51,5791,14101,8192,2.40842791346666107
52,983,3406,2048,0.77436018906599191
53,2615,5513,4096,1.99565480156415420
54,5393,13522,8192,2.14654668295494755
55,982,3519,2048,0.82266514145481306
56,2590,5418,4096,1.86597007998806830
57,5556,13439,8192,2.31025889933207607
58,951,3508,2048,0.81919045284775771
59,2675,4986,4096,1.77325231515545778
60,5529,14265,8192,2.21826588580276951
61,1033,3366,2048,0.80461045262426412
62,2487,5252,4096,1.88200357110964189
63,5337,13495,8192,2.30573349964070573
64,949,3487,2048,0.83984179674212667
65,2564,5411,4096,1.91566604781679950
66,5376,13876,8192,2.31542977947706818
67,978,3390,2048,0.83951609823519935
68,2641,5360,4096,1.92541183181959430
69,5312,14337,8192,2.29373354231477888
70,954,3426,2048,0.80933132082911430
71,2622,5463,4096,1.98846403492815105
72,5206,13479,8192,2.21926474167602805
73,1003,3395,2048,0.83230192770658096
74,2448,5029,4096,1.71812732824876746
75,5357,14496,8192,2.24535981076111124
76,996,3518,2048,0.83534161455946832
77,2474,5444,4096,1.94367633820402053
78,5221,13232,8192,2.37393219287759871
79,1005,3353,2048,0.83981575308744816
80,2471,5339,4096,1.90772960304119277
81,5238,14478,8192,2.28182068480904165
82,960,3397,2048,0.81330274149939430
83,2522,5436,4096,1.87527696133038990
84,5272,13557,8192,2.40329102221756186
85,965,3300,2048,0.80828804660476583
86,2551,5145,4096,1.85214737991473544
87,5552,13077,8192,2.20194466835154845
88,947,3612,2048,0.80323347785366772
89,2729,5432,4096,1.84974836856988611
90,5424,14290,8192,2.21476228224843785
91,929,3392,2048,0.81075674246460172
92,2426,5428,4096,1.87476548668723986
93,5680,14571,8192,2.24243931339354674
94,1034,3394,2048,0.82550342654604536
95,2706,5511,4096,1.96410757670747782
96,5422,13514,8192,2.16847541875702898
97,958,3332,2048,0.87570151571463972
98,2483,5091,4096,1.89822297678017482
99,5434,13926,8192,2.25768529390663719
100,999,3212,2048,0.83018005307469522
