game_number,move_count,score,max_tile,avg_move_time_sec
1,21539,119884,32768,0.0589
2,14924,71868,16384,0.0610
3,14610,72388,16384,0.0600
4,29775,159236,32768,0.0581
5,33186,197328,65536,0.0549
6,22162,122836,32768,0.0550
7,14956,76484,16384,0.0589
8,18760,98320,32768,0.0458
9,14868,77508,16384,0.0459
10,19113,104148,32768,0.0456
11,29759,163460,32768,0.0453
12,25003,143892,32768,0.0459
13,55896,342640,65536,0.0454
14,7471,29076,16384,0.0722
15,29825,149512,65536,0.0640
16,29853,149300,65536,0.0539
17,29868,146540,65536,0.0658
18,7477,29232,16384,0.0631
19,14882,56472,32768,0.0573
20,29713,122604,65536,0.0755
21,14951,70984,32768,0.0678
22,29739,149152,65536,0.0561
23,15059,63112,32768,0.0234
24,3756,14332,8192,0.0524
25,14910,62336,32768,0.0766
26,14912,56888,32768,0.0605
27,14894,72012,32768,0.0707
28,14909,64496,32768,0.0834
29,14858,60584,32768,0.0755
30,14888,67364,32768,0.0546
31,29822,134184,65536,0.0549
32,14925,64504,32768,0.0770
33,943,3268,2048,0.0845
34,14906,66660,32768,0.0566
35,14907,60528,32768,0.0528
36,14940,73248,32768,0.0588
37,14901,59252,32768,0.0710
38,7480,33788,16384,0.1004
39,88400,553892,131072,0.1332
40,13486,69684,16384,0.0534
41,27669,163084,32768,0.0564
42,29256,159264,32768,0.0426
43,29887,165944,32768,0.0427
44,26083,142188,32768,0.0428
45,26463,152812,32768,0.0431
46,41607,245604,65536,0.0426
47,27777,156156,32768,0.0429
48,13390,68324,16384,0.0436
49,26760,143196,32768,0.0430
50,55446,336668,65536,0.0451
51,13790,70672,16384,0.0478
52,35466,212152,65536,0.0466
53,29796,168712,32768,0.0462
54,27827,157804,32768,0.0465
55,26758,152404,32768,0.0466
56,29251,164068,32768,0.0661
57,28333,150179,32768,0.0626
58,44015,258386,65536,0.0554
59,43237,260796,65536,0.0578
60,13532,71767,16384,0.0483
61,46790,263758,65536,0.063
62,26429,156295,32768,0.0632
63,43979,258146,65536,0.0401
64,15677,66477,16384,0.0414
65,15839,68939,16384,0.0631
66,33801,260678,65536,0.0515
67,42049,265061,65536,0.0517
68,35292,266688,65536,0.0564
69,55949,268628,65536,0.0502
70,28726,151296,32768,0.0551
71,54855,270790,65536,0.0647
72,26186,155576,32768,0.0621
73,36960,261828,65536,0.0649
74,37976,268753,65536,0.0666
75,45620,264040,65536,0.0453
76,28743,157063,32768,0.0511
77,27056,156556,32768,0.0639
78,15367,69251,16384,0.0602
79,27699,152953,32768,0.0668
80,53757,256270,65536,0.0658
81,45863,274361,65536,0.0418
82,13575,69772,16384,0.0456
83,47449,253831,65536,0.0559
84,14761,71113,16384,0.0421
85,36182,266995,65536,0.0605
86,28737,158460,32768,0.0582
87,29898,158324,32768,0.0688
88,26190,147720,32768,0.0431
89,52097,270837,65536,0.0596
90,51086,255626,65536,0.052
91,52808,265535,65536,0.0511
92,46199,261862,65536,0.0483
93,49422,277943,65536,0.0622
94,28595,152188,32768,0.063
95,27597,150479,32768,0.047
96,53908,262389,65536,0.0611
97,26656,163965,32768,0.0494
98,42290,267671,65536,0.0699
99,13800,66851,16384,0.0513
100,42753,261033,65536,0.0491
