game_number,move_count,score,max_tile,avg_move_time_sec
<<<<<<< HEAD
1,291,272,256,0.004336276005223854
2,264,380,256,0.0038830872738000117
3,498,560,512,0.0020527341758390986
4,765,1008,1024,0.0004265193066565819
5,411,1048,512,0.0004388752354902653
6,514,908,512,0.0004272066665530669
7,636,884,1024,0.00042418001582787473
8,460,1004,512,0.0004217059715934422
9,683,716,1024,0.0004211861427497026
10,509,804,512,0.00042938436646826843
11,1232,1968,2048,0.0004262633911975018
12,722,976,1024,0.0004225355106047316
13,335,372,512,0.0004227289512975892
14,825,1380,1024,0.0004269452528520064
15,319,452,512,0.00042926779361354147
16,554,964,512,0.00043772403083553385
17,515,756,512,0.00043254037505214654
18,499,816,512,0.0004295662553133611
19,384,688,256,0.00043395037452379864
20,414,816,512,0.00043089493461277175
21,266,256,256,0.0004401941944781999
22,498,600,512,0.00043054661118840595
23,321,388,256,0.0004270195589630032
24,449,584,512,0.000425286707209054
25,739,1456,1024,0.00042725867605661024
26,721,1080,1024,0.00042985712440268505
27,774,1072,1024,0.0004308192920931242
28,402,748,512,0.00042781663771292465
29,296,400,256,0.0004366926244787268
30,201,232,256,0.00043982297033812867
31,481,536,512,0.0004245813571985447
32,468,868,512,0.00043118611360207584
33,761,1264,1024,0.00043049027822647393
34,498,656,512,0.0004244396485478045
35,895,1444,1024,0.0004274829139922584
36,591,876,512,0.0004227734257525397
37,333,592,512,0.00043638332470043287
38,390,536,512,0.00042955630864852513
39,468,564,512,0.0004385638440776075
40,244,396,256,0.0004354549235984927
41,752,1344,1024,0.00042324719276834043
42,474,720,512,0.00042277448790988844
43,717,940,1024,0.0004239644299324919
44,865,1184,1024,0.0004284398404159987
45,555,880,512,0.0004347805504326348
46,420,572,512,0.0004281049682980492
47,505,568,512,0.00043173450054508625
48,698,1052,1024,0.0004223093262374572
49,911,1472,1024,0.00042669336044696765
50,441,836,512,0.000423172433900725
51,272,300,256,0.0004277369555305032
52,934,1252,1024,0.0004259784420756763
53,744,868,1024,0.0004273569712074854
54,466,560,512,0.00043145883748459715
55,295,352,256,0.0004310890779656879
56,267,264,256,0.000436948033307822
