game_number,move_count,score,max_tile,avg_move_time_sec
1,27,44,32,0.0002048722019901982
2,24,24,16,0.000182420015335083
3,32,48,32,0.00018455088138580322
4,24,40,32,0.00019591053326924643
5,18,32,16,0.00019689400990804037
6,18,16,16,0.00020072195265028212
7,45,132,64,0.00017948150634765624
8,17,20,16,0.00017431203056784237
9,42,68,64,0.00019197804587227956
10,22,44,16,0.00018694184043190697
11,20,24,16,0.00018622875213623047
12,17,24,16,0.00017457849839154412
13,17,8,16,0.00017418580896714155
14,30,44,32,0.00018964608510335285
15,29,40,32,0.00019105549516349002
16,30,48,32,0.00017533302307128906
17,19,20,16,0.00017908999794407894
18,17,36,16,0.00017011866850011488
19,22,20,16,0.0001734061674638228
20,38,52,32,0.00017868845086348685
21,9,0,8,0.00016721089680989584
22,18,20,16,0.00017767482333713106
23,22,24,32,0.00018369067798961294
24,16,20,16,0.00018334388732910156
25,28,40,32,0.00018781423568725586
26,27,28,32,0.000186973147922092
27,27,36,32,0.0002082453833685981
28,22,24,32,0.00020540844310413706
29,16,20,16,0.0002842545509338379
30,22,24,32,0.00025161829861727625
31,31,36,32,0.00022823579849735382
32,22,36,32,0.00019412690942937678
33,29,56,32,0.00018672285408809268
34,17,20,16,0.000185391482184915
35,26,72,32,0.00018348143650935247
36,27,12,32,0.00018150718123824508
37,19,8,16,0.00017368166070235404
38,42,56,32,0.0001767873764038086
39,17,20,16,0.00017863161423627068
40,21,16,16,0.00037352244059244793
41,50,52,64,0.00024428844451904294
42,13,16,8,0.0002470199878399189
43,26,36,32,0.00019472378950852615
44,17,16,16,0.00019182878382065718
45,31,44,32,0.00019106557292322958
46,9,8,8,0.0002987119886610243
47,25,48,32,0.00022835731506347655
48,25,36,32,0.00018609046936035156
49,33,68,32,0.00019297455296371922
50,20,24,32,0.00019055604934692383
51,28,64,32,0.00018872533525739397
52,16,32,16,0.00018478929996490479
53,21,20,16,0.00017912047249930247
54,15,20,16,0.0002120335896809896
55,29,44,32,0.00018155163732068292
56,28,40,32,0.00019018139157976423
57,32,60,32,0.0002372637391090393
58,25,32,32,0.00020902633666992188
59,19,16,16,0.00018783619529322575
60,24,44,32,0.00019982457160949707
61,17,32,16,0.00019837828243480008
62,47,112,64,0.00020022087908805686
63,15,20,8,0.0002338886260986328
64,15,12,16,0.00023163159688313801
65,15,24,16,0.00022406578063964843
66,19,24,16,0.00019776193719161185
67,19,20,16,0.00021731226067793998
68,15,12,16,0.00023177464803059896
69,18,24,16,0.00023818016052246094
70,28,36,32,0.0002136571066720145
71,20,16,32,0.00018943548202514647
72,32,32,32,0.00019657611846923828
73,29,68,32,0.00019286418783253636
74,22,24,32,0.00017938830635764381
75,26,12,32,0.0002120824960561899
76,19,20,16,0.00019900422347219368
77,15,12,16,0.00020766258239746094
78,20,32,16,0.00020657777786254884
79,31,32,32,0.00019704141924458166
80,16,4,16,0.00017856061458587646
81,26,20,32,0.00019782323103684647
82,37,28,32,0.00018455531146075273
83,24,48,32,0.00018709897994995117
84,25,56,32,0.00018033981323242187
85,30,20,32,0.00018256505330403646
86,41,48,64,0.00017759858108148342
87,18,24,16,0.00022510687510172525
88,24,12,16,0.00018117825190226236
89,21,20,32,0.00018375260489327566
90,22,24,16,0.00018721277063543147
91,16,28,16,0.0002101808786392212
92,18,4,16,0.0001805490917629666
93,22,36,16,0.00018248774788596413
94,14,8,16,0.0002044609614780971
95,27,28,32,0.00020383022449634695
96,16,16,16,0.00020062923431396484
97,31,44,32,0.00018794305862918976
98,17,28,16,0.00021035530987907857
99,25,24,32,0.00018924713134765625
100,28,40,32,0.00017798798424857005
