game_number,move_count,score,max_tile,avg_move_time_sec
1,239,556,256,0.0007472706639118274
2,161,652,128,0.0007668874278572035
3,153,304,128,0.0007270582361158981
4,214,424,256,0.0006849019326896311
5,341,1004,512,0.0006032682234241117
6,153,416,128,0.0006862232108521306
7,253,1060,256,0.0006863712793282369
8,251,944,256,0.0006845291867199172
9,268,868,256,0.0006493881567200618
10,304,700,256,0.0007375251305730719
11,173,548,128,0.0007013309897714957
12,182,460,256,0.000672011585025997
13,262,536,256,0.0006612803189809086
14,166,392,128,0.0006590133689972291
15,244,520,256,0.0006302341085965516
16,433,1148,512,0.0006271074880903918
17,230,560,256,0.0007317657056062118
18,250,704,256,0.0006476507186889648
19,303,1012,512,0.0006256693660622776
20,187,388,256,0.0006699421826530905
21,175,276,128,0.0006231512342180525
22,202,556,256,0.0007079037109223923
23,150,396,128,0.0006835174560546875
24,229,472,256,0.0006733565351327955
25,264,612,256,0.0006648843938654119
26,145,292,128,0.0008067394125050512
27,176,392,128,0.0006362890655344182
28,157,552,128,0.0007181759852512627
29,270,1188,256,0.00065290751280608
30,248,812,256,0.0006699533231796757
31,147,404,128,0.0006914560486670254
32,217,580,256,0.0006485930236253871
33,129,412,128,0.0006752088088397832
34,265,824,256,0.0006328213889643832
35,130,312,128,0.0007574136440570537
36,98,300,64,0.0007523006322432538
37,215,604,256,0.0006719788839650709
38,98,216,64,0.0007130199549149494
39,192,504,256,0.0006973308821519216
40,200,528,256,0.0006510341167449952
41,136,132,128,0.000722194419187658
42,281,964,256,0.0006559005411494245
43,284,932,512,0.0006270677271023602
44,242,636,256,0.0006489093638648672
45,205,536,256,0.0006700573897943264
46,183,428,256,0.0006713932329188279
47,354,1292,512,0.0006249341587562346
48,213,692,256,0.000693201459069767
49,218,864,256,0.0006767926959816469
50,208,368,256,0.0006042099916017973
51,153,344,128,0.0007439173904119753
52,237,468,256,0.0006737336830750799
53,278,964,256,0.0008439400213227855
54,204,648,256,0.0006793901032092524
55,204,532,256,0.0006693613295461618
56,221,564,256,0.0007595422580770777
57,164,364,128,0.0006581966469927532
58,213,816,256,0.0007275091090672452
59,175,316,128,0.0006480162484305246
60,274,620,256,0.0006509888781248218
61,253,756,256,0.0006402754500920594
62,287,648,256,0.0006297332484547685
63,225,636,256,0.0007041390736897787
64,165,464,128,0.0006780609940037583
65,190,388,256,0.0007690730847810444
66,167,420,128,0.0006776712611763777
67,173,508,128,0.0006407175449966695
68,259,636,256,0.000678554004683918
69,198,396,256,0.0006341247847585967
70,270,684,256,0.0006284457665902597
71,221,540,256,0.0006355937250059655
72,83,236,64,0.0007112399641289769
73,130,272,128,0.0007347730489877555
74,267,748,256,0.0006475502185607225
75,253,428,256,0.0006257253202053869
76,172,368,128,0.000635887301245401
77,186,584,128,0.000641146013813634
78,235,592,256,0.0006656342364372091
79,195,368,256,0.0006290570283547426
80,152,388,128,0.0006659344622963353
81,240,472,256,0.0006452927986780803
82,127,408,128,0.0011368379818172906
83,234,588,256,0.0006550173474173261
84,138,264,128,0.0007378225741179093
85,138,468,128,0.0006873590358789417
86,220,608,256,0.0006540796973488548
87,142,328,128,0.0007922431113014758
88,222,620,256,0.0006711794449402405
89,251,744,256,0.0006281512666983434
90,95,200,64,0.0007296512001439145
91,156,532,128,0.0006994024301186586
92,252,768,256,0.000653676570407928
93,251,604,256,0.0006593575040657681
94,179,468,256,0.0006329746885672628
95,269,576,256,0.0006502188714463472
96,168,444,128,0.0007962343238648914
97,191,448,256,0.0007141822295663244
98,240,620,256,0.0006525297959645589
99,254,644,256,0.0006531692865326649
100,234,736,256,0.0006607669031518138
