game_number,move_count,score,max_tile,avg_move_time_sec
1,237,324,256,0.012103527407102946
2,304,440,256,0.0173067254455466
3,243,424,256,0.012053626064410426
4,166,260,128,0.011948299695210284
5,273,400,256,0.012005116040016705
6,259,304,256,0.011939339656167048
7,94,108,64,0.012127741854241553
8,278,476,256,0.011977665715937991
9,395,568,512,0.012036514885817902
10,308,456,256,0.011963817206296053
11,198,484,128,0.011982555341238927
12,272,348,256,0.012099337928435382
13,144,152,128,0.012009415361616347
14,248,344,256,0.01193299985701038
15,280,324,256,0.01189578686441694
16,287,448,256,0.011298303404751554
17,184,280,128,0.011371841897135195
18,239,520,128,0.012070620907899227
19,174,184,128,0.012151549602377004
20,182,180,128,0.012035021415123573
21,75,72,64,0.011927480697631837
22,201,180,256,0.01193908791043865
23,218,304,128,0.011957988826506729
24,239,372,256,0.012040395616986263
25,305,424,256,0.012008849910048188
26,271,680,256,0.011861619034376531
27,203,376,256,0.011996403116310759
28,238,236,256,0.01204667572213822
29,273,436,256,0.018199115445762328
30,327,420,256,0.012027556743096867
31,321,632,256,0.011842695723441531
32,138,224,64,0.011837335600369219
33,70,92,32,0.011764519555228097
34,193,404,128,0.011932500285805815
35,185,340,256,0.011921082316218195
36,343,456,512,0.011995105632192539
37,338,488,256,0.017364009597597742
38,272,304,256,0.012116802089354572
39,315,472,256,0.011923113323393322
40,173,216,128,0.011813155488471764
41,202,448,256,0.011934661629176375
42,492,528,512,0.011993475076628894
43,207,284,128,0.012070460020056094
44,141,124,128,0.0249574657873059
45,216,524,128,0.011911569922058671
46,326,348,256,0.011914912908355151
47,183,184,256,0.01176056575254013
48,289,296,256,0.011748499523809625
49,105,132,64,0.011716066087995256
50,257,372,256,0.011971981145064654
51,369,484,512,0.012081684458869582
52,255,268,128,0.019344615001304476
53,288,416,256,0.012122222946749793
54,267,460,256,0.01208059528793735
55,310,560,256,0.011923952256479572
56,118,100,128,0.011866127030324128
57,195,288,128,0.012009944671239609
58,461,648,512,0.012045246401474429
59,249,404,128,0.012111833296626448
60,230,304,256,0.012151170813519022
61,428,568,256,0.01216277173746412
62,151,184,128,0.011577555675380278
63,293,460,256,0.011816788858927965
64,140,132,64,0.012172014372689383
65,226,304,256,0.012154387161795017
66,163,284,128,0.012112563373121017
67,395,664,512,0.012075951733166659
68,235,236,256,0.02023291790739019
69,194,236,128,0.012292860709514814
70,308,476,256,0.011924656954678621
71,288,444,256,0.011725196407900916
72,194,280,128,0.012088201709629334
73,208,284,256,0.01195231767801138
74,313,400,256,0.012052673120468189
75,474,672,512,0.016143284266508077
76,245,232,256,0.012118154642533283
77,208,316,128,0.01165909950549786
78,347,416,256,0.011568558662700379
79,308,304,512,0.011679338944422734
80,263,260,256,0.011855116361900881
81,217,288,128,0.012170902594992643
82,149,180,128,0.012206504808976346
83,402,520,512,0.01820162338997001
84,265,404,256,0.01223821370106823
85,224,304,256,0.011460971619401659
86,237,172,128,0.011430728284618523
87,267,560,256,0.011469187361470769
88,143,108,128,0.011481238411856698
89,178,172,128,0.011842702211958638
90,348,548,256,0.0184950931318875
91,305,580,256,0.012298513631351659
92,304,460,256,0.012054494337031716
93,92,108,64,0.01131498036177262
94,291,300,256,0.011416952224941188
95,169,228,128,0.01138977186214289
96,234,348,256,0.011462111758370684
97,345,400,512,0.011880982440450917
98,272,256,256,0.01216624238911797
99,216,240,128,0.023430986536873713
100,198,292,128,0.01249436778251571
