game_number,move_count,score,max_tile,avg_move_time_sec
1,248,640,256,0.0001298948641746275
2,92,152,64,0.00012355265410050103
3,205,360,128,0.00012009318281964557
4,133,240,128,0.00013128438390287242
5,118,328,128,0.000126262842598608
6,171,364,128,0.00015011865493149784
7,259,476,256,0.00012964263385787433
8,79,108,64,0.0001268507559088212
9,110,168,128,0.0001221244985407049
10,76,132,64,0.0001383612030430844
11,36,60,16,0.0001246001985337999
12,137,256,128,0.00012450670673899407
13,84,124,64,0.00012480644952683222
14,115,228,64,0.00011903099391771399
15,50,44,32,0.00011722564697265625
16,124,280,128,0.0001232470235516948
17,107,244,64,0.00012884630221072759
18,124,216,128,0.00012056289180632561
19,122,240,64,0.00011853311882644403
20,191,340,256,0.00011834424203603056
21,110,340,64,0.0001189101826060902
22,148,340,128,0.0001294306806615881
23,98,140,64,0.00012465885707310269
24,123,256,128,0.0001222544569310134
25,107,180,64,0.00016105509249963494
26,107,204,64,0.00014579184701509564
27,105,212,128,0.00012390500023251488
28,58,96,32,0.0001207754529755691
29,129,296,128,0.00012567431427711664
30,205,492,256,0.00012389624991068025
31,146,328,128,0.00012681418902253452
32,140,160,128,0.00013032470430646625
33,89,184,64,0.00012214264173186228
34,69,88,64,0.00012515247731968975
35,104,228,64,0.0001238561593569242
36,125,172,128,0.00012371063232421875
37,204,556,256,0.00011984624114691043
38,71,124,32,0.00012776213632503027
39,117,244,128,0.0001216688726702307
40,92,112,64,0.00012094300726185675
41,142,344,128,0.00011874252641704721
42,138,276,128,0.0001313358113385629
43,123,192,64,0.0001271740207827188
44,91,192,64,0.00016037710420377962
45,164,316,128,0.00014649513291149606
46,195,424,256,0.0001272262671054938
47,85,144,64,0.00014505386352539062
48,165,336,128,0.000122973413178415
49,146,388,128,0.00012675866688767525
50,105,216,128,0.00013061250959123884
51,136,228,128,0.00012690179488238166
52,87,164,64,0.00012296095661733342
53,58,48,32,0.0001268469054123451
54,187,448,256,0.0001227804683746501
55,153,284,128,0.00012383897320117826
56,142,364,128,0.0001217848818067094
57,144,364,128,0.00012598103947109647
58,92,144,64,0.00012268968250440514
59,88,264,64,0.00012097575447776101
60,141,256,128,0.00012765370362193871
61,146,268,128,0.0001330881902616318
62,211,648,256,0.00015542405476502333
63,165,404,128,0.0001283833474823923
64,98,240,64,0.0001313856669834682
65,144,228,128,0.0001276218228869968
66,160,304,128,0.00011995583772659302
67,118,156,64,0.00013197680651131323
68,137,236,128,0.00012145947365865221
69,157,416,128,0.00012284934900368854
70,191,372,256,0.00012244354367880298
71,82,160,64,0.00012995557087223705
72,72,116,32,0.0001214742660522461
73,133,184,128,0.00011923976410600476
74,166,288,128,0.000121293297733169
75,178,408,256,0.0001265574037359002
76,111,232,64,0.00012089110709525444
77,109,264,128,0.00013976578318744624
78,121,180,128,0.000172656429700615
79,72,68,32,0.00012666649288601347
80,152,264,128,0.0001274535530491879
81,143,288,128,0.00013950988129302338
82,88,140,64,0.00013602863658558238
83,113,152,128,0.0001267985960023593
84,118,204,128,0.0001247252448130462
85,99,88,64,0.0001361634996202257
86,192,324,128,0.00012239565451939902
87,195,440,256,0.00012030968299278847
88,69,144,32,0.00011982088503630266
89,111,128,128,0.00011804726746705201
90,134,348,128,0.00012960718638861356
91,133,196,128,0.00012645327058949865
92,100,216,64,0.00012308120727539063
93,208,564,256,0.0001281889585348276
94,102,136,128,0.00012106053969439338
95,82,116,64,0.00012184933918278392
96,124,268,128,0.00017894275726810578
97,105,136,64,0.00014705885024297806
98,101,256,64,0.0001332689039778001
99,104,188,64,0.00012769607397226186
100,118,348,128,0.00012871976626121392
