game_number,move_count,score,max_tile,avg_move_time_sec
1,70,88,64,0.025445481709071568
2,39,56,32,0.026048880357008714
3,47,64,64,0.026131675598469187
4,46,76,64,0.025449270787446396
5,44,112,32,0.02494987032630227
6,87,196,128,0.02564297051265322
7,39,52,32,0.027076281034029447
8,29,28,32,0.02604815877717117
9,54,60,64,0.026981384665877732
10,33,36,32,0.03005933039116137
11,35,36,32,0.027054337092808314
12,40,44,32,0.02821859121322632
13,48,56,32,0.026085376739501953
14,61,80,64,0.02576006435957111
15,62,52,64,0.02630217613712434
16,49,68,64,0.026821530595117687
17,54,56,64,0.025935009673789696
18,75,168,64,0.025836668014526366
19,63,116,64,0.025924069540841237
20,39,40,32,0.0266112975585155
21,66,72,64,0.02609668355999571
22,63,104,64,0.02647000267392113
23,46,40,64,0.026641306669815727
24,38,52,32,0.0261064140420211
25,66,72,64,0.02682422146652684
26,32,32,32,0.026167556643486023
27,63,84,64,0.025909768210517034
28,38,44,32,0.026573457215961657
29,91,140,128,0.026810329039018234
30,39,36,32,0.026694737947904147
31,53,56,64,0.026606217870172463
32,62,108,64,0.026639223098754883
33,55,68,64,0.026599558916958897
34,55,96,64,0.02586451010270552
35,53,72,64,0.025448182843766123
36,66,100,64,0.025236859466090347
37,81,112,128,0.025841138981006765
38,38,28,32,0.02670798803630628
39,39,64,32,0.026059438020755082
40,33,20,32,0.0258844332261519
41,59,68,64,0.02536744182392702
42,81,96,128,0.025430900079232675
43,59,80,64,0.026012945983369472
44,32,16,32,0.026515163481235504
45,95,124,128,0.025698890184101306
46,81,88,128,0.02616907637796284
47,31,24,32,0.026403188705444336
48,40,48,32,0.026348751783370972
49,56,64,64,0.02584320306777954
50,60,76,64,0.02573017676671346
51,66,112,64,0.0251207532304706
52,102,132,128,0.02531299404069489
53,53,80,64,0.026263961252176535
54,85,120,128,0.025873635796939624
55,41,72,32,0.026333047122490114
56,50,136,32,0.027247800827026367
57,91,128,128,0.02603649045084859
58,64,104,64,0.026486482471227646
59,71,84,64,0.025358720564506422
60,57,84,64,0.026147641633686266
61,38,32,32,0.025383886538053815
62,52,64,64,0.028848460087409385
63,58,76,64,0.026285274275417984
64,33,76,32,0.025955669807665276
65,45,72,32,0.02600492901272244
66,106,96,128,0.02519121934782784
67,87,168,128,0.026464106022626502
68,37,24,32,0.025963531958090293
69,46,80,64,0.025290468464726986
70,49,76,64,0.025834278184540416
71,31,36,16,0.027060462582495906
72,119,220,128,0.025414561023231315
73,53,80,64,0.02668647496205456
74,64,100,64,0.025540534406900406
75,52,76,64,0.025899029695070706
76,36,48,32,0.025317894087897405
77,43,32,64,0.02576548554176508
78,61,100,64,0.026002324995447378
79,30,32,32,0.026146761576334634
80,39,52,32,0.026215651096441805
81,36,64,32,0.02548054191801283
82,73,112,64,0.02552775160907066
83,50,96,64,0.025907573699951173
84,39,40,32,0.02647994726132124
85,48,36,64,0.026717121402422588
86,57,92,64,0.026567940126385605
87,46,56,64,0.027523476144541866
88,38,40,32,0.027588580784044768
89,26,44,16,0.026921620735755332
90,48,64,64,0.026233668128649395
91,57,44,64,0.026311907851905153
92,29,52,32,0.026912483675726528
93,28,16,32,0.02666464022227696
94,40,48,32,0.025729548931121827
95,37,48,32,0.026129458401654218
96,52,76,64,0.02586951622596154
97,63,80,64,0.026092033537607345
98,73,100,64,0.02556309308091255
99,37,48,32,0.02588222477887128
100,62,60,64,0.02619152299819454
