game_number,move_count,score,max_tile,avg_move_time_sec
1,26,44,16,0.0002367863288292518
2,50,112,64,0.0001892375946044922
3,22,36,16,0.00016863779588179156
4,19,16,8,0.00016129644293534127
5,23,28,16,0.00016695520152216372
6,34,72,32,0.0001790453405941234
7,21,40,16,0.000160171872093564
8,32,124,32,0.00023230910301208496
9,36,20,32,0.0002677506870693631
10,50,92,64,0.0002005481719970703
11,34,52,32,0.00023023521198945886
12,30,48,32,0.0001785437266031901
13,40,48,32,0.00017867684364318847
14,21,36,16,0.0001789274669828869
15,30,28,32,0.00021638075510660809
16,32,24,32,0.00017806142568588257
17,38,20,32,0.00016230031063682154
18,30,36,32,0.00015816688537597656
19,22,36,16,0.00017963756214488637
20,32,60,32,0.0001941472291946411
21,56,148,64,0.00017162305968148367
22,35,72,32,0.0001961367470877511
23,24,44,16,0.00017629067103068033
24,30,92,32,0.0002347866694132487
25,33,40,32,0.00020277861392859256
26,38,68,32,0.00016489154414126746
27,32,120,32,0.000160902738571167
28,33,36,32,0.00015742851026130444
29,48,84,64,0.00017921626567840576
30,22,24,16,0.00016721812161532316
31,19,12,16,0.00028516116895173723
32,19,32,16,0.00016957835147255346
33,28,40,16,0.0001793503761291504
34,19,48,16,0.00028450865494577507
35,21,72,16,0.00018511499677385603
36,44,48,64,0.00022842125459150836
37,50,64,64,0.0001817941665649414
38,30,16,16,0.00016658306121826173
39,37,84,32,0.00016255636472959777
40,21,28,16,0.00017109371366954984
41,36,68,32,0.00015754832161797417
42,35,68,32,0.00019247191292898997
43,50,96,64,0.00016567707061767578
44,34,24,32,0.00019725631265079274
45,22,44,16,0.00017049095847389916
46,23,16,32,0.0002057448677394701
47,30,40,32,0.0001602490743001302
48,34,56,32,0.00018280393937054803
49,14,8,8,0.0001700605664934431
50,29,36,32,0.00020240915232691271
51,37,68,32,0.0002304025598474451
52,44,88,32,0.00019954551349986684
53,14,12,8,0.00021895340510777066
54,29,40,32,0.00016358803058492727
55,35,48,32,0.00018337794712611606
56,39,100,32,0.00018308101556239984
57,41,80,32,0.000160944171068145
58,31,68,16,0.00016032495806294104
59,23,56,16,0.00017160954682723335
60,35,48,32,0.00016334397452218193
61,23,28,32,0.0001600410627282184
62,23,36,16,0.00016383502794348675
63,28,68,32,0.00017505032675606863
64,20,28,16,0.00018210411071777343
65,31,60,32,0.00020041773396153604
66,48,156,64,0.00021096567312876383
67,37,36,32,0.00020473067824904983
68,17,24,16,0.00022848914651309743
69,35,64,32,0.000248023441859654
70,35,76,32,0.00016072137015206474
71,26,48,16,0.0001645363294161283
72,38,80,32,0.0001668867311979595
73,27,8,16,0.0002770247282805266
74,22,28,16,0.0001758011904629794
75,20,40,16,0.00025246143341064455
76,32,60,32,0.000157088041305542
77,45,76,64,0.0002044359842936198
78,24,44,16,0.00017104546229044595
79,25,48,32,0.0002107715606689453
80,19,24,16,0.00016040551035027755
81,36,72,32,0.00020825862884521484
82,21,20,16,0.00019939740498860678
83,34,52,16,0.0002766847610473633
84,17,12,8,0.0001714790568632238
85,45,64,32,0.00016763475206163194
86,30,40,32,0.00018827120463053385
87,16,32,8,0.00021970272064208984
88,23,28,16,0.0002172200576118801
89,34,52,32,0.00016442467184627757
90,20,40,16,0.0001593947410583496
91,30,44,32,0.00019446214040120443
92,37,60,32,0.00017167426444388725
93,26,60,16,0.00019203699552095853
94,24,36,16,0.00016774733861287436
95,33,68,32,0.00016947948571407434
96,32,64,32,0.00020264089107513428
97,32,112,32,0.00015572458505630493
98,24,36,16,0.00015868743260701498
99,43,92,32,0.00016521853069926417
100,34,40,32,0.00017607913297765395
