game_number,move_count,score,max_tile,avg_move_time_sec
1,91,292,64,0.001015988025036487
2,117,280,128,0.0008189352149637337
3,63,152,64,0.0008813350919693236
4,67,224,64,0.0009347751959046321
5,70,324,64,0.000956446783883231
6,65,160,64,0.0009812024923471303
7,69,272,64,0.0008543125097302423
8,69,300,64,0.0008460542430048404
9,59,164,64,0.0009113287521620928
10,48,244,64,0.0009737759828567505
11,65,224,64,0.0009249760554387019
12,116,556,128,0.0008528150361159753
13,98,380,128,0.0008163306177878866
14,63,264,64,0.0008954661233084542
15,63,172,64,0.0009315997835189577
16,67,308,64,0.0009468099964198782
17,102,516,128,0.0009073743633195466
18,69,264,64,0.0008358022441034732
19,67,128,64,0.0008924363264397009
20,60,144,64,0.0008034467697143555
21,74,324,64,0.0009291623089764569
22,59,228,64,0.0008960982500496557
23,59,196,64,0.0009208412493689586
24,91,248,64,0.0008542511489365127
25,85,316,128,0.0008640345405129825
26,119,560,128,0.0008938132213945148
27,118,484,128,0.0008279691308231677
28,62,276,64,0.000981188589526761
29,113,340,128,0.0008288991134778589
30,62,208,64,0.0011445437708208638
31,115,636,128,0.0008911858434262483
32,57,260,64,0.0009283224741617838
33,72,216,64,0.0008792579174041748
34,101,544,128,0.0009114459009453801
35,99,404,128,0.0008535698206737788
36,120,504,128,0.0007832765579223633
37,125,392,128,0.0008120136260986328
38,88,436,128,0.000968247652053833
39,121,552,128,0.000789731002050983
40,93,456,128,0.0009353289040186072
41,108,388,128,0.0008633843174687138
42,66,144,64,0.0009349945819739139
43,63,268,64,0.0009874389285132999
44,97,272,128,0.000816116627958632
45,65,336,64,0.0009067902198204627
46,102,516,128,0.0009410194322174671
47,111,648,128,0.0008299264821920309
48,108,436,128,0.0008772103874771683
49,61,180,64,0.001015080780279441
50,71,332,64,0.0009710520086154132
51,61,164,64,0.0008867764082111296
52,67,316,64,0.0008664487013176306
53,113,444,128,0.0008694555907122857
54,112,532,128,0.0009398502962929862
55,61,276,64,0.000885857910406394
56,68,204,64,0.0008997671744402717
57,61,252,64,0.0009564024503113794
58,50,180,64,0.0009587907791137695
59,69,280,64,0.0009317847265713457
60,65,204,64,0.0008791960202730619
61,113,320,128,0.0008559079296820987
62,68,204,64,0.0008511543273925781
63,68,276,64,0.0009154712452607997
64,91,376,128,0.0009240396730192416
65,63,128,64,0.0009365384540860615
66,122,428,128,0.0007766915149376041
67,174,1176,256,0.000852825997889727
68,97,392,128,0.0008944703131606898
69,40,124,32,0.0009823977947235108
70,67,248,64,0.0008361588663129664
71,111,652,128,0.0009436113340360624
72,85,320,128,0.0009757715113022748
73,107,376,128,0.0008715335453782126
74,73,268,64,0.000942903022243552
75,65,144,64,0.0008847273313082181
76,124,452,128,0.0007936877589071951
77,117,584,128,0.0007890452686538044
78,93,236,128,0.0010914289823142432
79,70,300,64,0.0009429114205496651
80,118,476,128,0.0010311825800750215
81,63,216,64,0.0010121814788333953
82,64,168,64,0.0008979737758636475
83,67,228,64,0.0008736902208470586
84,125,452,128,0.0008901824951171875
85,109,424,128,0.0008512746303453358
86,79,244,64,0.00115647195260736
87,99,344,128,0.0011458035671349728
88,120,592,128,0.0009177664915720622
89,110,432,128,0.0008748683062466708
90,114,564,128,0.0009054635700426603
91,71,344,64,0.0010036683418381382
92,68,244,64,0.0009388292537016027
93,118,292,128,0.0008696075213157525
94,94,300,128,0.0008616853267588514
95,175,476,256,0.0008858149392264229
96,123,508,128,0.000891400546562381
97,76,232,64,0.0009142944687291196
98,65,204,64,0.0008988857269287109
99,63,308,64,0.0009665035066150484
100,116,312,128,0.0008336655024824472
