game_number,move_count,score,max_tile,avg_move_time_sec
1,233,1488,256,0.03682338219343848
2,464,3384,512,0.030808030017491043
3,350,2560,512,0.033263447625296455
4,470,3224,512,0.030178962362573503
5,470,3484,512,0.028496565717331907
6,469,3288,512,0.029344273528564713
7,470,3328,512,0.028620526638436825
8,704,5900,1024,0.026775737716393036
9,452,2992,512,0.028231239424342604
10,673,5692,1024,0.027363215654778447
11,700,5516,1024,0.026531553268432616
12,462,3324,512,0.029324425247324492
13,447,3036,512,0.03150500707178308
14,668,5680,1024,0.027153910277132504
15,469,3200,512,0.02948956499730092
16,440,3044,512,0.0304999362338673
17,231,1504,256,0.037896618698582504
18,220,1532,256,0.0358111479065635
19,696,5864,1024,0.02656632730330544
20,695,5804,1024,0.027457841351735505
21,350,2624,512,0.03464681421007429
22,416,2980,512,0.031663076808819406
23,460,3344,512,0.030106524280879808
24,346,2608,512,0.031750561874036846
25,458,3328,512,0.028888312489705314
26,468,3364,512,0.029842625825833052
27,352,2684,512,0.03348063067956404
28,463,3156,512,0.02944648961011586
29,468,3396,512,0.03001094424826467
30,452,3136,512,0.030586065971745853
31,694,5876,1024,0.02629445677875442
32,348,2648,512,0.03519522253124193
33,470,3268,512,0.029812194438690834
34,223,1316,256,0.0348419063294415
35,402,2856,512,0.03235864283433601
36,401,3056,512,0.03221995455963059
37,461,3284,512,0.030802473328894492
38,459,3324,512,0.029259492109543875
39,461,3312,512,0.029231232314202896
40,462,3288,512,0.029445816428114325
41,465,3380,512,0.029705158869425454
42,575,5088,1024,0.029239392487899116
43,443,3128,512,0.029490382622919017
44,446,3080,512,0.029206578507017127
45,695,5632,1024,0.026577047306856665
46,405,3004,512,0.03187350461512436
47,814,6860,1024,0.025352100775341436
48,410,2920,512,0.0315674793429491
49,456,3016,512,0.030271122330113462
50,416,3100,512,0.031121003513152782
51,432,3116,512,0.031923077172703214
52,681,5800,1024,0.02791378921699244
53,233,1352,256,0.0349879029482731
54,232,1424,256,0.034924125876919974
55,696,5636,1024,0.026242536032336884
56,464,3196,512,0.02869806824059322
57,350,2632,512,0.033037212235586984
58,228,1424,256,0.035684420351396524
59,675,5408,1024,0.027698375207406502
60,240,1564,256,0.038172439734141035
61,462,3092,512,0.028906199839208033
62,473,3364,512,0.02999407897287897
63,689,5708,1024,0.027489653519518317
64,343,2644,512,0.031775370283655104
65,452,3244,512,0.03048806907856359
66,452,3228,512,0.030278158926330838
67,450,3112,512,0.030432468520270452
68,410,2868,512,0.032966269516363375
69,461,3208,512,0.03131331125205613
70,457,3344,512,0.0286357355848183
71,455,3232,512,0.030775700558672896
72,233,1340,256,0.035492936940663876
73,229,1484,256,0.038149352677524354
74,465,3160,512,0.028364153318507696
75,461,3328,512,0.030461963500480072
76,475,3392,512,0.030345522729974043
77,346,2552,512,0.03370579818769687
78,475,3252,512,0.029431181455913343
79,450,3128,512,0.03162123892042372
80,462,3280,512,0.02840975197878751
81,453,3136,512,0.030806737756623865
82,230,1404,256,0.03625496781390646
83,233,1448,256,0.03515279958176511
84,473,3044,512,0.02943522683157729
85,472,3236,512,0.02813786318746664
86,444,3124,512,0.029061838313265965
87,228,1460,256,0.03496020509485613
88,457,3296,512,0.029297037249842672
89,697,5708,1024,0.02750820203696296
90,700,5444,1024,0.02744534628731864
91,457,3268,512,0.028803640173613632
92,345,2604,512,0.03596229276795318
93,352,2556,512,0.03246143663471395
94,456,3236,512,0.029976776817388702
95,630,5316,1024,0.027578888999091253
96,356,2616,512,0.03266784917102771
97,228,1368,256,0.0348814234398959
98,693,5756,1024,0.02624094881880679
99,404,2904,512,0.030673345716873017
100,466,3320,512,0.030891117108226333
