game_number,move_count,score,max_tile,avg_move_time_sec
1,91,276,128,0.0003779982472514058
2,36,68,32,0.00032403071721394855
3,104,240,128,0.0002957421999711257
4,64,108,64,0.0002848990261554718
5,96,248,128,0.000335333247979482
6,38,60,32,0.0004206707603053043
7,81,172,128,0.00031194569152078513
8,61,132,64,0.0002839369852034772
9,88,332,128,0.0002938725731589577
10,70,176,64,0.0002974203654697963
11,45,108,32,0.0002852069007025825
12,68,132,64,0.0002788690959706026
13,70,168,64,0.0002884796687534877
14,60,184,64,0.000274658203125
15,60,172,64,0.0002809723218282064
16,70,192,64,0.00028250217437744143
17,60,136,64,0.00028184652328491213
18,69,192,64,0.0002768558004628057
19,66,124,64,0.0002832087603482333
20,38,116,32,0.000275630699960809
21,67,220,64,0.0002806079921437733
22,122,320,128,0.0002744373728017338
23,122,456,128,0.00027460934685879064
24,64,144,64,0.000276714563369751
25,65,188,64,0.0002830798809344952
26,41,140,32,0.0002881840961735423
27,48,96,32,0.00027979910373687744
28,62,196,64,0.00028300669885450794
29,68,160,64,0.0002794756608850816
30,37,72,32,0.00027984541815680424
31,85,208,128,0.00027862997616038605
32,82,204,128,0.00027819959128775245
33,65,152,64,0.0002800464630126953
34,65,152,64,0.0002800794748159555
35,66,240,64,0.00027795271439985794
36,92,240,128,0.0002782422563304072
37,63,208,64,0.00028020238119458394
38,41,108,32,0.00028767818357886335
39,86,296,128,0.00027879448824150616
40,92,188,128,0.00027933846349301547
41,57,168,64,0.0002798950463010554
42,40,56,32,0.0002857089042663574
43,41,120,32,0.0002905566517899676
44,55,160,64,0.0002878449179909446
45,45,68,32,0.00028041203816731773
46,59,120,64,0.0002818713753910388
47,38,76,32,0.00028334793291593855
48,60,124,64,0.00027921597162882484
49,69,124,64,0.00028489983600118887
50,93,408,128,0.0002783883002496535
51,72,248,64,0.00027879079182942707
52,53,124,64,0.0002842084416803324
53,74,204,128,0.00028056067389410893
54,95,272,128,0.00027491167971962376
55,38,72,32,0.0002871940010472348
56,41,116,32,0.00029498774830887957
57,94,240,128,0.00027649960619338014
58,61,252,64,0.00028071247163366096
59,71,164,64,0.00028036010097449933
60,39,60,32,0.00028428053244566306
61,57,144,64,0.0002772849902772067
62,77,300,64,0.0002787051262793603
63,72,160,64,0.00027738014856974286
64,61,152,64,0.00027947738522388896
65,56,164,64,0.00027687634740556987
66,60,136,64,0.00028460025787353517
67,83,276,128,0.0002812793455928205
68,61,156,64,0.00028196319204862
69,42,112,32,0.00028393382117861794
70,60,152,64,0.0002890308698018392
71,63,188,64,0.0002932586367168124
72,92,248,128,0.0002831142881642217
73,123,372,128,0.0002777692748279106
74,65,228,64,0.00028253702016977164
75,68,260,64,0.0002817125881419462
76,37,76,32,0.00028009028048128694
77,59,192,64,0.00028121673454672606
78,64,108,64,0.000278618186712265
79,34,80,32,0.00028595503638772406
80,62,160,64,0.00027914970151839716
81,77,212,64,0.0002784914784617238
82,58,124,64,0.00027653677710171406
83,40,84,32,0.0002789556980133057
84,81,212,128,0.0002807511223687066
85,65,196,64,0.0002800354590782752
86,69,208,64,0.00027511085289112037
87,67,192,64,0.000274313029958241
88,47,96,32,0.0002804969219451255
89,68,204,64,0.00027222493115593404
90,39,60,32,0.0002840421138665615
91,39,64,32,0.00028405434046036156
92,65,244,64,0.0002759236555833083
93,38,48,32,0.0002854937001278526
94,48,132,64,0.0002798686424891154
95,103,288,128,0.00027672063957140283
96,75,168,64,0.0002833302815755208
97,79,204,128,0.00027549115917350673
98,110,300,128,0.0002768841656771573
99,69,252,64,0.00027738792308862657
100,64,172,64,0.0002774633467197418
