game_number,move_count,score,max_tile,avg_move_time_sec
1,14,24,16,0.0006545952388218471
2,16,44,16,0.0006226003170013428
3,11,24,16,0.000498078086159446
4,14,28,16,0.0007132632391793388
5,16,48,16,0.0006752759218215942
6,14,24,16,0.0006600958960396903
7,26,68,32,0.0005857485991257888
8,15,20,16,0.0005558331807454427
9,16,24,16,0.0006700605154037476
10,27,44,32,0.0005136684135154441
11,23,44,32,0.0005142170449961786
12,21,60,32,0.00043841770717075894
13,26,48,32,0.000418699704683744
14,14,24,16,0.0005145583833966937
15,14,28,16,0.0005597046443394252
16,23,52,32,0.0004704620527184528
17,29,60,32,0.0004369801488415948
18,15,32,16,0.0005819479624430339
19,16,20,16,0.0006009936332702637
20,21,64,32,0.0005155972072056361
21,15,28,16,0.0006867090861002605
22,24,80,32,0.0005014240741729736
23,28,64,32,0.0004633665084838867
24,17,44,16,0.0005907731897690717
25,28,112,32,0.0005079252379281181
26,13,16,16,0.0006277561187744141
27,12,20,8,0.0007175405820210775
28,25,68,32,0.0005058479309082031
29,21,64,32,0.0005398137228829521
30,25,44,32,0.0005356884002685547
31,10,4,8,0.0005229711532592773
32,27,72,32,0.000459750493367513
33,28,40,32,0.0005616460527692522
34,13,40,16,0.0006520014542799729
35,14,28,16,0.000803760119846889
36,22,56,16,0.0004723180424083363
37,18,44,16,0.0005921655231051975
38,28,124,32,0.0004889454160417829
39,27,84,32,0.00046248789186830873
40,25,28,32,0.00048766136169433596
41,12,20,16,0.0006448825200398763
42,19,64,32,0.0006330013275146484
43,26,60,32,0.00042148736807016225
44,15,44,16,0.0005884647369384765
45,15,44,16,0.00047777493794759116
46,25,64,32,0.0004982662200927735
47,14,32,16,0.00060011659349714
48,15,60,16,0.0005522569020589193
49,29,92,32,0.0004981304037159886
50,27,96,32,0.0005247592926025391
51,15,44,16,0.00048810640970865885
52,11,12,8,0.0007099671797318892
53,14,28,16,0.0005706889288766044
54,24,64,32,0.0003510018189748128
55,21,64,32,0.0005098070417131696
56,24,56,32,0.00044041872024536133
57,21,52,32,0.0005867367699032738
58,9,0,8,0.0009170638190375434
59,14,32,16,0.0005973577499389648
60,22,44,32,0.0004814104600386186
61,23,76,32,0.0006194114685058594
62,26,84,32,0.0005084551297701322
63,18,32,32,0.00045613447825113934
64,23,60,32,0.0005821041438890541
65,14,28,16,0.0005549022129603795
66,15,52,16,0.0005184332529703776
67,14,12,16,0.0005660567964826312
68,25,60,32,0.00048575401306152346
69,22,40,32,0.0005088936198841442
70,26,64,32,0.0005409992658174955
71,10,20,8,0.0007669687271118164
72,22,64,32,0.0005229494788429954
73,16,36,16,0.0005702972412109375
74,29,64,32,0.0003796610338934537
75,12,20,16,0.0006471673647562662
76,13,52,16,0.0006071420816274789
77,15,12,16,0.0005715688069661459
78,14,32,16,0.000568458012172154
79,15,40,16,0.0004964033762613932
80,22,84,32,0.00044644962657581675
81,26,56,32,0.0006117912439199594
82,16,28,16,0.0006089955568313599
83,22,84,32,0.0005117871544577858
84,15,24,16,0.0006464958190917969
85,13,48,16,0.0006586404947134164
86,26,84,32,0.00046653930957500753
87,16,68,16,0.0006511658430099487
88,13,28,16,0.0006212087777944711
89,26,56,32,0.0005158277658315805
90,16,28,16,0.0005277842283248901
91,25,68,32,0.0005019378662109375
92,21,48,32,0.0005709670838855562
93,19,80,16,0.0005574853796707956
94,13,12,16,0.0005982105548565204
95,27,68,32,0.00044612531308774596
96,29,96,32,0.00039540488144447066
97,26,36,32,0.00041220738337590144
98,24,64,32,0.0003960827986399333
99,21,40,16,0.0005022117069789342
100,27,80,32,0.0004261776253029152
